reviewId,testimony,hum_sentiment_score
2046,"My 2 1/2 year old loves this. He can't break it with the thick rubber case, and we can control the games he plays, and how long he plays. Great mix of educational and fun items. The only problem is the charging cord is a bit too easy to break. If they pull it off the charger, it makes the port loose and you have to get the right angle for it to charge.",2
733,"The Show is the new Alexa Device with a video screen. I like being able to see a screen when you ask questions, and you can view videos too. I also like that you can see the temperature, and date without having to ask. I like you can view a video of a recipe, not just see text. The one item missing from this great device is the capability to hook it up to your surround audio system.I have two dots and love them. The Show would be perfect if I could also hook it up to my audio system. Even though this feature does not exist, it still is a great product.",4
4360,Was good price.Wish it had Google Play download on to it.,1
2249,I liked my really old one a bit better. It broke after 5 years suddenly. The screen failed. I had to pay over 20 bucks extra to get rid of the ads to Amazon. I wasn't aware of this when I first bought so it was more expensive than expected.,-2
5125,"This item is perfectly compact because you don’t need several separate international plugs (as my other units were). This takes the guess work out. I Traveled to South Africa recently and it was great! I simply inserted my usb cords into this product, slid out appropriate plug for that country, and inserted it into hotel outlet. There’s a UK, EU, etc. It worked without any issues. Throw away all those separate pieces of other adapters and just use this ONE!",4
1953,easy to use great product and BEST BUY ANSWERED MY QUESTIONS,2
3162,"Echo sounds better for music, but Tap gives me portability. Good to have both. Now Tap is voice activated, so it's all good.",3
2970,"Over all pretty good product.i am not so sure if it's got Bluetooth connectivity. i've had it for a few months now and kids seem to enjoy it a lot.certainly I recommend to anyone who wants to give their kids the ""best ""gift.",3
3186,"I was looking for just a Bluetooth speaker to add to my laptop for better sound. When I first listened to Amazon Tap I was so impressed with the sound quality.....then add in all the features it was a no brainer for a purchase! Sound quality is off the charts, Alexa learns more every day, and so do I! If you are a Prime member, this is a must! If you aren't...then you really should be!",2
3850,My kid enjoys the tablet. This one is inexpensive than ipad. The availability of apps are limited.,1
4670,"Amazon keeps getting better. Tablet now has option to move icons, set wallpaper and more. With added SD card option, is even better.",2
4582,So easy to use super clear can't. Beat the price all around great buy,3
1538,Best kindle charger ever. Took 30 minutes to being my kindle back to life.,0
929,"Very easy to set up and use. Really like the screen to view the items searched for, and to read information about the searched item.",1
3571,Was looking for tablet to read books and this is perfect for that.,1
4672,I love my Amazon Fire tablet it does exactly what I needed to do.,1
2585,We bought the fire for my 85 yr old aunt. She loves it!! Easy to use,2
1127,We have two echo ourselves and purchased this as a gift for someone. We have smart plugs for our lamps that Alexa turns on/off.,0
2700,"My baby boy has one, I knew my girl would love it as well. Fun games and the AppStore has access to new games and books.",2
3264,The store representative took his time with me to choose the right size and the lady at the check out got me hooked up with Best Buy Program membership.,0
5041,i had tv for 10 months and lost pic and sound mfd warrenty is still in effect plus extended walmart warrenty so far mfd has had 3 mails back and forth and no tv replacement yet i do believe they will stand behind the product it seems like a good unit time will tell update coming on results,1
2470,My son loves his kindle fire tablet. It is perfect,2
